user_input,Approved symbol,Approved name,Previous symbols,Alias symbols,matching_status
FAM86B1,FAM86B1,family with sequence similarity 86 member B1 (gene/pseudogene),,MGC16279,matched
FAM86B2,FAM86B2,family with sequence similarity 86 member B2,,,matched
FAM89A,FAM89A,family with sequence similarity 89 member A,C1orf153,MGC15887,matched
FAM89B,FAM89B,family with sequence similarity 89 member B,,"MTVR1, LRAP25",matched
FAM90A1,FAM90A1,family with sequence similarity 90 member A1,,FLJ10408,matched
FAM90A3,FAM90A3,family with sequence similarity 90 member A3,FAM90A3P,,matched
FAM90A5,FAM90A5,family with sequence similarity 90 member A5,FAM90A5P,,matched
FAM90A7,FAM90A7,family with sequence similarity 90 member A7,FAM90A7P,,matched
FAM90A8,FAM90A8,family with sequence similarity 90 member A8,FAM90A8P,,matched
FAM90A9,FAM90A9,family with sequence similarity 90 member A9,FAM90A9P,,matched
FAM90A10,FAM90A10,family with sequence similarity 90 member A10,FAM90A10P,,matched
FAM90A11,FAM90A11,family with sequence similarity 90 member A11,FAM90A11P,,matched
FAM90A12,FAM90A12,family with sequence similarity 90 member A12,FAM90A12P,,matched
FAM90A13,FAM90A13,family with sequence similarity 90 member A13,FAM90A13P,,matched
FAM90A14,FAM90A14,family with sequence similarity 90 member A14,FAM90A14P,,matched
FAM90A15,FAM90A15,family with sequence similarity 90 member A15,FAM90A15P,,matched
FAM90A16,FAM90A16,family with sequence similarity 90 member A16,FAM90A16P,,matched
FAM90A17,FAM90A17,family with sequence similarity 90 member A17,FAM90A17P,,matched
FAM90A18,FAM90A18,family with sequence similarity 90 member A18,FAM90A18P,,matched
FAM90A19,FAM90A19,family with sequence similarity 90 member A19,FAM90A19P,,matched
FAM90A20,FAM90A20,family with sequence similarity 90 member A20,FAM90A20P,,matched
FAM90A22,FAM90A22,family with sequence similarity 90 member A22,FAM90A22P,,matched
FAM90A23,FAM90A23,family with sequence similarity 90 member A23,FAM90A23P,,matched
FAM90A24,FAM90A24,family with sequence similarity 90 member A24,FAM90A24P,,matched
FAM90A26,FAM90A26,family with sequence similarity 90 member A26,FAM90A26P,,matched
FAM91A1,FAM91A1,family with sequence similarity 91 member A1,,FLJ23790,matched
FAM98A,FAM98A,family with sequence similarity 98 member A,,DKFZP564F0522,matched
FAM98B,FAM98B,family with sequence similarity 98 member B,,FLJ38426,matched
FAM98C,FAM98C,family with sequence similarity 98 member C,,FLJ44669,matched
FAM107A,FAM107A,family with sequence similarity 107 member A,,"DRR1, TU3A",matched
FAM107B,FAM107B,family with sequence similarity 107 member B,C10orf45,"FLJ45505, MGC11034, HITS",matched
FAM110A,FAM110A,family with sequence similarity 110 member A,C20orf55,bA371L19.3,matched
FAM110B,FAM110B,family with sequence similarity 110 member B,C8orf72,MGC39325,matched
FAM110C,FAM110C,family with sequence similarity 110 member C,,,matched
FAM110D,FAM110D,family with sequence similarity 110 member D,GRRP1,FLJ14050,matched
FAM111A,FAM111A,FAM111 trypsin like peptidase A,,"FLJ22794, KIAA1895",matched
FAM111B,FAM111B,FAM111 trypsin like peptidase B,,CANP,matched
FAM114A1,FAM114A1,family with sequence similarity 114 member A1,,Noxp20,matched
FAM114A2,FAM114A2,family with sequence similarity 114 member A2,C5orf3,133K02,matched
FAM117A,FAM117A,family with sequence similarity 117 member A,,,matched
FAM117B,FAM117B,family with sequence similarity 117 member B,ALS2CR13,FLJ38771,matched
FAM118A,FAM118A,family with sequence similarity 118 member A,C22orf8,"FLJ20635, bK268H5.C22.4",matched
FAM118B,FAM118B,family with sequence similarity 118 member B,,FLJ21103,matched
FAM120A,FAM120A,family with sequence similarity 120 member A,C9orf10,"KIAA0183, OSSA",matched
FAM120AOS,FAM120AOS,family with sequence similarity 120 member A opposite strand,C9orf10OS,,matched
FAM120B,FAM120B,family with sequence similarity 120 member B,KIAA1838,"PGCC1, CCPG, SAN1",matched
FAM120C,FAM120C,family with sequence similarity 120 member C,CXorf17,"ORF34, FLJ20506",matched
FAM124A,FAM124A,family with sequence similarity 124 member A,,FLJ30707,matched
FAM124B,FAM124B,family with sequence similarity 124 member B,,FLJ22746,matched
FAM131A,FAM131A,family with sequence similarity 131 member A,C3orf40,MGC21688,matched
FAM131B,FAM131B,family with sequence similarity 131 member B,,KIAA0773,matched
FAM131C,FAM131C,family with sequence similarity 131 member C,C1orf117,FLJ36766,matched
FAM133A,FAM133A,family with sequence similarity 133 member A,,"RP1-32F7.2, FLJ37659, CT115",matched
FAM133B,FAM133B,family with sequence similarity 133 member B,,MGC40405,matched
FAM135A,FAM135A,family with sequence similarity 135 member A,KIAA1411,FLJ20176,matched
FAM135B,FAM135B,family with sequence similarity 135 member B,,C8ORFK32,matched
FAM136A,FAM136A,family with sequence similarity 136 member A,,FLJ14668,matched
FAM149A,FAM149A,family with sequence similarity 149 member A,,"DKFZP564J102, MST119, MSTP119",matched
FAM149B1,FAM149B1,family with sequence similarity 149 member B1,KIAA0974,,matched
FAM151A,FAM151A,family with sequence similarity 151 member A,C1orf179,MGC27169,matched
FAM151B,FAM151B,family with sequence similarity 151 member B,,UNQ9217,matched
FAM153A,FAM153A,family with sequence similarity 153 member A,,NY-REN-7,matched
FAM153B,FAM153B,family with sequence similarity 153 member B,,,matched
FAM156A,FAM156A,family with sequence similarity 156 member A,TMEM29,PRO0659,matched
FAM156B,FAM156B,family with sequence similarity 156 member B,TMEM29B,,matched
FAM161A,FAM161A,FAM161 centrosomal protein A,RP28,FLJ13305,matched
FAM161B,FAM161B,FAM161 centrosomal protein B,C14orf44,FLJ31697,matched
FAM162A,FAM162A,family with sequence similarity 162 member A,C3orf28,"E2IG5, HGTD-P",matched
FAM162B,FAM162B,family with sequence similarity 162 member B,C6orf189,bA86F4.2,matched
FAM163A,FAM163A,family with sequence similarity 163 member A,C1orf76,"MGC16664, NDSP",matched
FAM163B,FAM163B,family with sequence similarity 163 member B,C9orf166,,matched
FAM167A,FAM167A,family with sequence similarity 167 member A,C8orf13,DIORA-1,matched
FAM167B,FAM167B,family with sequence similarity 167 member B,C1orf90,"MGC10820, DIORA-2",matched
FAM168A,FAM168A,family with sequence similarity 168 member A,KIAA0280,TCRP1,matched
FAM168B,FAM168B,family with sequence similarity 168 member B,,"KIAA0280L, MANI",matched
FAM169A,FAM169A,family with sequence similarity 169 member A,,"KIAA0888, SLAP75, SLAP",matched
FAM170A,FAM170A,family with sequence similarity 170 member A,,ZNFD,matched
FAM170B,FAM170B,family with sequence similarity 170 member B,C10orf73,AC084727.4,matched
FAM171A1,FAM171A1,family with sequence similarity 171 member A1,C10orf38,"FLJ12884, APCN",matched
FAM171A2,FAM171A2,family with sequence similarity 171 member A2,,MGC34829,matched
FAM171B,FAM171B,family with sequence similarity 171 member B,KIAA1946,FLJ34104,matched
FAM174A,FAM174A,family with sequence similarity 174 member A,TMEM157,"UNQ1912, NS5ATP6",matched
FAM174B,FAM174B,family with sequence similarity 174 member B,,"LOC400451, MGC102891",matched
FAM174C,FAM174C,family with sequence similarity 174 member C,C19orf24,FLJ20640,matched
FAM177A1,FAM177A1,family with sequence similarity 177 member A1,C14orf24,,matched
FAM177B,FAM177B,family with sequence similarity 177 member B,,"RP11-452F19.2, FLJ43505",matched
FAM178B,FAM178B,family with sequence similarity 178 member B,,LOC51252,matched
FAM180A,FAM180A,family with sequence similarity 180 member A,,"HWKM1940, UNQ1940",matched
FAM180B,FAM180B,family with sequence similarity 180 member B,,LOC399888,matched
FAM181A,FAM181A,family with sequence similarity 181 member A,C14orf152,,matched
FAM181B,FAM181B,family with sequence similarity 181 member B,,"LOC220382, MGC33846",matched
FAM184A,FAM184A,family with sequence similarity 184 member A,C6orf60,FLJ13942,matched
FAM184B,FAM184B,family with sequence similarity 184 member B,,KIAA1276,matched
FAM185A,FAM185A,family with sequence similarity 185 member A,,MGC35361,matched
FAM186A,FAM186A,family with sequence similarity 186 member A,,LOC121006,matched
FAM186B,FAM186B,family with sequence similarity 186 member B,C12orf25,DKFZP434J0113,matched
FAM187A,FAM187A,family with sequence similarity 187 member A,,,matched
FAM187B,FAM187B,family with sequence similarity 187 member B,TMEM162,FLJ25660,matched
FAM193A,FAM193A,family with sequence similarity 193 member A,C4orf8,RES4-22,matched
FAM193B,FAM193B,family with sequence similarity 193 member B,,"KIAA1931, FLJ10404, IRIZIO",matched
FAM199X,FAM199X,"family with sequence similarity 199, X-linked",CXorf39,,matched
FAM200A,FAM200A,family with sequence similarity 200 member A,C7orf38,"FLJ36794, DKFZp727G131",matched
FAM200B,FAM200B,family with sequence similarity 200 member B,,C4orf53,matched
FAM200C,FAM200C,family with sequence similarity 200 member C,"C5orf54, ZBED8",Buster3,matched
FAM204A,FAM204A,family with sequence similarity 204 member A,C10orf84,"FLJ13188, bA319I23.1",matched
FAM209A,FAM209A,family with sequence similarity 209 member A,C20orf106,dJ1153D9.3,matched
FAM209B,FAM209B,family with sequence similarity 209 member B,C20orf107,dJ1153D9.4,matched
FAM210A,FAM210A,family with sequence similarity 210 member A,C18orf19,"MGC24180, HsT2329",matched
FAM210B,FAM210B,family with sequence similarity 210 member B,C20orf108,"dJ1167H4.1, DKFZP434A1114",matched
FAM216A,FAM216A,family with sequence similarity 216 member A,C12orf24,HSU79274,matched
FAM216B,FAM216B,family with sequence similarity 216 member B,C13orf30,FLJ40919,matched
FAM217A,FAM217A,family with sequence similarity 217 member A,C6orf146,MGC43581,matched
FAM217B,FAM217B,family with sequence similarity 217 member B,C20orf177,dJ551D2.5,matched
FAM219A,FAM219A,family with sequence similarity 219 member A,C9orf25,"bA573M23.5, FLJ39031",matched
FAM219B,FAM219B,family with sequence similarity 219 member B,C15orf17,FLJ00005,matched
FAM220A,FAM220A,family with sequence similarity 220 member A,C7orf70,"SIPAR, MGC12966, ACPIN1",matched
FAM221A,FAM221A,family with sequence similarity 221 member A,C7orf46,"FLJ45875, MGC72075, DKFZp686F0810",matched
FAM221B,FAM221B,family with sequence similarity 221 member B,C9orf128,,matched
FAM222A,FAM222A,family with sequence similarity 222 member A,C12orf34,FLJ14721,matched
FAM222B,FAM222B,family with sequence similarity 222 member B,C17orf63,FLJ10700,matched
FAM227A,FAM227A,family with sequence similarity 227 member A,,,matched
FAM227B,FAM227B,family with sequence similarity 227 member B,C15orf33,FLJ32800,matched
FAM228A,FAM228A,family with sequence similarity 228 member A,C2orf84,FLJ30851,matched
FAM228B,FAM228B,family with sequence similarity 228 member B,,,matched
FAM229A,FAM229A,family with sequence similarity 229 member A,,,matched
FAM229B,FAM229B,family with sequence similarity 229 member B,C6orf225,"DKFZp586F0922, LOC619208",matched
FAM234A,FAM234A,family with sequence similarity 234 member A,"C16orf9, ITFG3","DKFZP761D0211, FLJ32603",matched
FAM234B,FAM234B,family with sequence similarity 234 member B,KIAA1467,,matched
FAM236A,FAM236A,family with sequence similarity 236 member A,"DMRTC1-AS1, LINC00684",,matched
FAM236B,FAM236B,family with sequence similarity 236 member B,,,matched
FAM236C,FAM236C,family with sequence similarity 236 member C,,,matched
FAM236D,FAM236D,family with sequence similarity 236 member D,,,matched
FAM237A,FAM237A,family with sequence similarity 237 member A,,,matched
FAM237B,FAM237B,family with sequence similarity 237 member B,,,matched
FAM240A,FAM240A,family with sequence similarity 240 member A,,,matched
FAM240B,FAM240B,family with sequence similarity 240 member B,,,matched
FAM240C,FAM240C,family with sequence similarity 240 member C,,,matched
FAM241A,FAM241A,family with sequence similarity 241 member A,C4orf32,FLJ39370,matched
FAM241B,FAM241B,family with sequence similarity 241 member B,C10orf35,,matched
FAM246A,FAM246A,family with sequence similarity 246 member A,,,matched
FAM246B,FAM246B,family with sequence similarity 246 member B,,,matched
FAM246C,FAM246C,family with sequence similarity 246 member C (gene/pseudogene),,,matched
FAN1,FAN1,FANCD2 and FANCI associated nuclease 1,"KIAA1018, MTMR15",,matched
FANCA,FANCA,FA complementation group A,"FACA, FANCH","FAA, FA-H, FAH",matched
FANCB,FANCB,FA complementation group B,,"FAB, FLJ34064, FAAP95",matched
FANCC,FANCC,FA complementation group C,FACC,"FAC, FA3",matched
FANCD2,FANCD2,FA complementation group D2,"FACD, FANCD","FAD, FA-D2",matched
FANCD2OS,FANCD2OS,FANCD2 opposite strand,C3orf24,MGC40179,matched
FANCE,FANCE,FA complementation group E,FACE,FAE,matched
FANCF,FANCF,FA complementation group F,,FAF,matched
FANCG,FANCG,FA complementation group G,XRCC9,FAG,matched
FANCI,FANCI,FA complementation group I,KIAA1794,FLJ10719,matched
FANCL,FANCL,FA complementation group L,PHF9,"FLJ10335, FAAP43, Pog",matched
FANCM,FANCM,FA complementation group M,KIAA1596,FAAP250,matched
FANK1,FANK1,fibronectin type III and ankyrin repeat domains 1,,,matched
FAP,FAP,fibroblast activation protein alpha,,DPPIV,matched
FAR1,FAR1,fatty acyl-CoA reductase 1,MLSTD2,"FLJ22728, SDR10E1",matched
FAR2,FAR2,fatty acyl-CoA reductase 2,MLSTD1,"FLJ10462, SDR10E2",matched
FARP1,FARP1,"FERM, ARH/RhoGEF and pleckstrin domain protein 1",,"CDEP, PLEKHC2, MGC87400, PPP1R75, GLCC1",matched
FARP2,FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",,"KIAA0793, FIR, PLEKHC3, FRG",matched
FARS2,FARS2,"phenylalanyl-tRNA synthetase 2, mitochondrial",FARS1,"dJ236A3.1, mtPheRS",matched
FARSA,FARSA,phenylalanyl-tRNA synthetase subunit alpha,"FARSL, FARSLA",CML33,matched
FARSB,FARSB,phenylalanyl-tRNA synthetase subunit beta,FARSLB,"PheHB, FRSB",matched
FAS,FAS,Fas cell surface death receptor,"FAS1, APT1, TNFRSF6","CD95, APO-1",matched
FASLG,FASLG,Fas ligand,"APT1LG1, TNFSF6","FasL, CD178",matched
FASN,FASN,fatty acid synthase,,"FAS, SDR27X1",matched
FASTK,FASTK,Fas activated serine/threonine kinase,,FAST,matched
FASTKD1,FASTKD1,FAST kinase domains 1,,FLJ21901,matched
FASTKD2,FASTKD2,FAST kinase domains 2,KIAA0971,,matched
FASTKD3,FASTKD3,FAST kinase domains 3,,"MGC5297, FLJ23274",matched
FASTKD5,FASTKD5,FAST kinase domains 5,,FLJ13149,matched
FAT1,FAT1,FAT atypical cadherin 1,FAT,"CDHF7, CDHR8",matched
FAT2,FAT2,FAT atypical cadherin 2,,"MEGF1, CDHF8, HFAT2, CDHR9",matched
FAT3,FAT3,FAT atypical cadherin 3,,"KIAA1989, CDHF15, CDHR10",matched
FAT4,FAT4,FAT atypical cadherin 4,,"CDHF14, FAT-J, CDHR11",matched
FATE1,FATE1,fetal and adult testis expressed 1,,"FATE, CT43",matched
FAU,FAU,FAU ubiquitin like and ribosomal protein S30 fusion,,"RPS30, FLJ22986, Fub1, Fubi, MNSFbeta, asr1, S30, eS30",matched
FAXC,FAXC,"failed axon connections homolog, metaxin like GST domain containing",C6orf168,"MGC2817, dJ273F20",matched
FAXDC2,FAXDC2,fatty acid hydroxylase domain containing 2,C5orf4,FLJ13758,matched
FBF1,FBF1,Fas binding factor 1,,"FLJ00103, FBF-1, KIAA1863, ALB",matched
FBH1,FBH1,F-box DNA helicase 1,FBXO18,"FLJ14590, Fbx18",matched
FBL,FBL,fibrillarin,,"RNU3IP1, FLRN, FIB, Nop1",matched
FBLIM1,FBLIM1,filamin binding LIM protein 1,,"FBLP-1, CAL, migfilin",matched
FBLL1,FBLL1,fibrillarin like 1,,LOC345630,matched
FBLN1,FBLN1,fibulin 1,,FBLN,matched
FBLN2,FBLN2,fibulin 2,,,matched
FBLN5,FBLN5,fibulin 5,,"EVEC, UP50, DANCE, ARMD3",matched
FBLN7,FBLN7,fibulin 7,,"FLJ37440, TM14",matched
FBN1,FBN1,fibrillin 1,"FBN, MFS1, WMS","MASS, OCTD, SGS",matched
FBN2,FBN2,fibrillin 2,CCA,DA9,matched
FBN3,FBN3,fibrillin 3,,KIAA1776,matched
FBP1,FBP1,fructose-bisphosphatase 1,FBP,,matched
FBP2,FBP2,fructose-bisphosphatase 2,,,matched
FBRS,FBRS,fibrosin,FBS1,"FBS, FLJ11618",matched
FBRSL1,FBRSL1,fibrosin like 1,,KIAA1545,matched
FBXL2,FBXL2,F-box and leucine rich repeat protein 2,,"FBL2, FBL3",matched
FBXL3,FBXL3,F-box and leucine rich repeat protein 3,FBXL3A,"FBL3, FBL3A",matched
FBXL4,FBXL4,F-box and leucine rich repeat protein 4,,"FBL4, FBL5",matched
FBXL5,FBXL5,F-box and leucine rich repeat protein 5,,"FBL4, FBL5, FLR1",matched
FBXL6,FBXL6,F-box and leucine rich repeat protein 6,,FBL6,matched
FBXL7,FBXL7,F-box and leucine rich repeat protein 7,,"KIAA0840, FBL7, FBL6",matched
FBXL8,FBXL8,F-box and leucine rich repeat protein 8,,Fbl8,matched
FBXL12,FBXL12,F-box and leucine rich repeat protein 12,,"FLJ20188, Fbl12",matched
FBXL13,FBXL13,F-box and leucine rich repeat protein 13,,"MGC21636, Fbl13, DRC6, CFAP169",matched
FBXL14,FBXL14,F-box and leucine rich repeat protein 14,,"MGC40195, Fbl14",matched
FBXL15,FBXL15,F-box and leucine rich repeat protein 15,FBXO37,"MGC11279, Fbl15",matched
FBXL16,FBXL16,F-box and leucine rich repeat protein 16,C16orf22,"MGC33974, Fbl16",matched
FBXL17,FBXL17,F-box and leucine rich repeat protein 17,FBXO13,"DKFZP434C1715, Fbx13, Fbl17",matched
FBXL18,FBXL18,F-box and leucine rich repeat protein 18,,"FLJ11467, Fbl18",matched
FBXL19,FBXL19,F-box and leucine rich repeat protein 19,,"DKFZp434K0410, Fbl19, JHDM1C, CXXC11",matched
FBXL20,FBXL20,F-box and leucine rich repeat protein 20,,"MGC15482, Fbl2, Fbl20",matched
FBXL22,FBXL22,F-box and leucine rich repeat protein 22,,"Fbl22, FLJ39626",matched
FBXO2,FBXO2,F-box protein 2,OCP1,"FBX2, Nfb42, Fbs1, Fbg1",matched
FBXO3,FBXO3,F-box protein 3,,"FBX3, FBA",matched
FBXO4,FBXO4,F-box protein 4,,FBX4,matched
FBXO5,FBXO5,F-box protein 5,,"FBX5, Fbxo31, EMI1",matched
FBXO6,FBXO6,F-box protein 6,,"FBX6, FBG2, FBS2, Fbx6b",matched
FBXO7,FBXO7,F-box protein 7,,"FBX7, Fbx, PARK15",matched
FBXO8,FBXO8,F-box protein 8,,"FBX8, FBS",matched
FBXO9,FBXO9,F-box protein 9,,"FBX9, NY-REN-57",matched
FBXO10,FBXO10,F-box protein 10,,FBX10,matched
FBXO11,FBXO11,F-box protein 11,,"FBX11, UBR6",matched
FBXO15,FBXO15,F-box protein 15,,"MGC39671, FBX15",matched
FBXO16,FBXO16,F-box protein 16,,FBX16,matched
FBXO17,FBXO17,F-box protein 17,FBXO26,"FBG4, FLJ25205, MGC9379, FLJ11798, Fbx17",matched
FBXO21,FBXO21,F-box protein 21,,"FBX21, KIAA0875",matched
FBXO22,FBXO22,F-box protein 22,,"FBX22, FISTC1",matched
FBXO24,FBXO24,F-box protein 24,,FBX24,matched
FBXO25,FBXO25,F-box protein 25,,FBX25,matched
FBXO27,FBXO27,F-box protein 27,,"Fbg5, Fbx27",matched
FBXO28,FBXO28,F-box protein 28,,"FLJ10766, KIAA0483, Fbx28, CENP-30",matched
FBXO30,FBXO30,F-box protein 30,,"MGC21674, Fbx30",matched
FBXO31,FBXO31,F-box protein 31,,"FBX14, FBXO14, Fbx31, MGC15419",matched
FBXO32,FBXO32,F-box protein 32,,"MAFbx, ATROGIN1, Fbx32",matched
FBXO33,FBXO33,F-box protein 33,,Fbx33,matched
FBXO34,FBXO34,F-box protein 34,,"FLJ20725, Fbx34",matched
FBXO36,FBXO36,F-box protein 36,,"Fbx36, FLJ37592",matched
FBXO38,FBXO38,F-box protein 38,,"MOKA, SP329, FLJ13962, Fbx38",matched
FBXO39,FBXO39,F-box protein 39,,"MGC35179, Fbx39, CT144",matched
FBXO40,FBXO40,F-box protein 40,,"KIAA1195, Fbx40",matched
FBXO41,FBXO41,F-box protein 41,,"KIAA1940, Fbx41",matched
FBXO42,FBXO42,F-box protein 42,,"KIAA1332, Fbx42",matched
FBXO43,FBXO43,F-box protein 43,,Fbx43,matched
FBXO44,FBXO44,F-box protein 44,,"FBX30, FBG3, MGC14140, Fbxo6a, Fbx44",matched
FBXO45,FBXO45,F-box protein 45,,Fbx45,matched
FBXO46,FBXO46,F-box protein 46,FBXO34L,"20D7-FC4, Fbx46",matched
FBXO47,FBXO47,F-box protein 47,,,matched
FBXO48,FBXO48,F-box protein 48,,,matched
FBXW2,FBXW2,F-box and WD repeat domain containing 2,,"FBW2, Md6, Fwd2",matched
FBXW4,FBXW4,F-box and WD repeat domain containing 4,SHFM3,"Fbw4, dactylin",matched
FBXW5,FBXW5,F-box and WD repeat domain containing 5,,"DKFZP434B205, MGC20962, Fbw5",matched
FBXW7,FBXW7,F-box and WD repeat domain containing 7,,"AGO, FLJ11071, SEL-10, SEL10, FBW7, FBX30, CDC4, FBXW6",matched
FBXW8,FBXW8,F-box and WD repeat domain containing 8,FBXO29,"FBX29, FBW6, FBW8",matched
FBXW9,FBXW9,F-box and WD repeat domain containing 9,,"MGC10870, Fbw9, MEC-15",matched
FBXW10,FBXW10,F-box and WD repeat domain containing 10,"C17orf1, C17orf1A","SM2SH2, HREP, Fbw10",matched
FBXW10B,FBXW10B,F-box and WD repeat domain containing 10B,"FBXW10P1, CDRT1","HREP, SM25H2",matched
FBXW11,FBXW11,F-box and WD repeat domain containing 11,FBXW1B,"KIAA0696, Fbw1b, BTRCP2, BTRC2, Hos, Fbw11",matched
FBXW12,FBXW12,F-box and WD repeat domain containing 12,FBXO35,Fbw12,matched
FCAMR,FCAMR,Fc alpha and mu receptor,,"FKSG87, FCA/MR, CD351, Fcalpha/muR",matched
FCAR,FCAR,Fc alpha receptor,,"CD89, FcalphaRI, FcalphaR",matched
FCER1A,FCER1A,Fc epsilon receptor Ia,FCE1A,"FcepsilonRIalpha, FCERIA",matched
FCER1G,FCER1G,Fc epsilon receptor Ig,,FcepsilonRIgamma,matched
FCER2,FCER2,Fc epsilon receptor II,"CD23A, FCE2","CLEC4J, CD23, FCErII, FcepsilonRII",matched
FCF1,FCF1,FCF1 rRNA-processing protein,C14orf111,"CGI-35, Bka, UTP24",matched
FCGBP,FCGBP,Fc gamma binding protein,,"FC(GAMMA)BP, FcgammaBP",matched
FCGR1A,FCGR1A,Fc gamma receptor Ia,,"CD64, CD64A, FcgammaRI, FcgammaRIa, FCG1, FCGR1",matched
FCGR2A,FCGR2A,Fc gamma receptor IIa,"FCG2, FCGR2A1, FCGR2","CD32, CD32A, IGFR2, CDw32, Fc-gamma-RIIa, FcgammaRIIa",matched
FCGR2B,FCGR2B,Fc gamma receptor IIb,"FCG2, FCGR2","CD32, CD32B, FcgammaRIIb, FcGRIIB",matched
FCGR2C,FCGR2C,Fc gamma receptor IIc (gene/pseudogene),,"hFcRII-C, CD32C, Fc-gamma-RIIc, FcgammaRIIc",matched
FCGR3A,FCGR3A,Fc gamma receptor IIIa,"FCGR3, FCG3","CD16, CD16a, FcgammaRIIIa, FcGRIIIA",matched
FCGR3B,FCGR3B,Fc gamma receptor IIIb,"FCGR3, FCG3","CD16, CD16b, FcgammaRIIIb, FcRIIIb",matched
FCGRT,FCGRT,Fc gamma receptor and transporter,,"FcgammaRn, FcRn",matched
FCHO1,FCHO1,FCH and mu domain containing endocytic adaptor 1,,KIAA0290,matched
FCHO2,FCHO2,FCH and mu domain containing endocytic adaptor 2,,,matched
FCHSD1,FCHSD1,FCH and double SH3 domains 1,,FLJ00007,matched
FCHSD2,FCHSD2,FCH and double SH3 domains 2,SH3MD3,KIAA0769,matched
FCMR,FCMR,Fc mu receptor,FAIM3,"TOSO, FcmuR",matched
FCN1,FCN1,ficolin 1,,FCNM,matched
FCN2,FCN2,ficolin 2,,"P35, FCNL, EBP-37, ficolin-2",matched
FCN3,FCN3,ficolin 3,,"FCNH, HAKA1",matched
FCRL1,FCRL1,Fc receptor like 1,,"FCRH1, IRTA5, IFGP1, CD307a",matched
FCRL2,FCRL2,Fc receptor like 2,SPAP1,"FCRH2, IRTA4, CD307b",matched
FCRL3,FCRL3,Fc receptor like 3,,"FCRH3, IRTA3, IFGP3, SPAP2a, SPAP2, SPAP2b, SPAP2c, SPAP2d, SPAP2e, CD307c, MAIA",matched
FCRL4,FCRL4,Fc receptor like 4,,"FCRH4, IRTA1, IGFP2, CD307d",matched
FCRL5,FCRL5,Fc receptor like 5,,"FCRH5, IRTA2, BXMAS1, CD307e",matched
FCRL6,FCRL6,Fc receptor like 6,,"IFGP6, FLJ16056, FcRH6",matched
FCRLA,FCRLA,Fc receptor like A,FCRLM1,"MGC4595, FCRLc2, FCRLb, FCRLc1, FCRLd, FCRLe, FCRL, FREB, FCRLX",matched
FCRLB,FCRLB,Fc receptor like B,FCRLM2,"FLJ31052, FCRL2, FREB-2, FCRLY",matched
FCSK,FCSK,fucose kinase,FUK,FLJ39408,matched
FDCSP,FDCSP,follicular dendritic cell secreted protein,C4orf7,FDC-SP,matched
FDFT1,FDFT1,farnesyl-diphosphate farnesyltransferase 1,,SQS,matched
FDPS,FDPS,farnesyl diphosphate synthase,,,matched
FDX1,FDX1,ferredoxin 1,FDX,ADX,matched
FDX2,FDX2,ferredoxin 2,FDX1L,MGC19604,matched
FDXACB1,FDXACB1,ferredoxin-fold anticodon binding domain containing 1,,"LOC91893, hCG_2033039",matched
FDXR,FDXR,ferredoxin reductase,ADXR,"ADR, AR",matched
FECH,FECH,ferrochelatase,,,matched
FEM1A,FEM1A,fem-1 homolog A,,,matched
FEM1B,FEM1B,fem-1 homolog B,,,matched
FEM1C,FEM1C,fem-1 homolog C,,"KIAA1785, EUROIMAGE686608, EUROIMAGE783647, FEM1A",matched
FEN1,FEN1,flap structure-specific endonuclease 1,RAD2,"FEN-1, MF1",matched
FER,FER,FER tyrosine kinase,,"TYK3, PPP1R74",matched
FER1L5,FER1L5,fer-1 like family member 5,,DKFZp434I0121,matched
FER1L6,FER1L6,fer-1 like family member 6,,C8ORFK23,matched
FERD3L,FERD3L,Fer3 like bHLH transcription factor,,"NATO3, N-TWIST, bHLHa31",matched
FERMT1,FERMT1,FERM domain containing kindlin 1,C20orf42,"FLJ20116, URP1, KIND1, UNC112A",matched
FERMT2,FERMT2,FERM domain containing kindlin 2,PLEKHC1,"mig-2, KIND2, UNC112B",matched
FERMT3,FERMT3,FERM domain containing kindlin 3,,"URP2, KIND3, MIG2B, MGC10966, UNC112C",matched
FERRY3,FERRY3,FERRY endosomal RAB5 effector complex subunit 3,C12orf4,Fy-3,matched
FES,FES,"FES proto-oncogene, tyrosine kinase",,FPS,matched
FETUB,FETUB,fetuin B,,,matched
FEV,FEV,"FEV transcription factor, ETS family member",,Pet-1,matched
FEZ1,FEZ1,fasciculation and elongation protein zeta 1,,UNC-76,matched
FEZ2,FEZ2,fasciculation and elongation protein zeta 2,,,matched
FEZF1,FEZF1,FEZ family zinc finger 1,ZNF312B,,matched
FEZF2,FEZF2,FEZ family zinc finger 2,ZNF312,"FLJ10142, FKSG36, TOF, FEZL, Zfp312",matched
FFAR1,FFAR1,free fatty acid receptor 1,GPR40,FFA1R,matched
FFAR2,FFAR2,free fatty acid receptor 2,GPR43,FFA2R,matched
FFAR3,FFAR3,free fatty acid receptor 3,GPR41,FFA3R,matched
FFAR4,FFAR4,free fatty acid receptor 4,"GPR129, GPR120, O3FAR1",PGR4,matched
FGA,FGA,fibrinogen alpha chain,,,matched
FGB,FGB,fibrinogen beta chain,,,matched
FGD1,FGD1,"FYVE, RhoGEF and PH domain containing 1",FGDY,ZFYVE3,matched
FGD2,FGD2,"FYVE, RhoGEF and PH domain containing 2",,ZFYVE4,matched
